                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7425,                 23.193,                 3.7275,                0.80681,                0.00924,                0.00244,                0.00092,                 3.4155,                 4.4682,                 2.5476,              0.0033221,              0.0033221,              0.0033221
                      2,                 2.6022,                  7.573,                  1.826,                0.37474,                0.02776,                  0.012,                0.00623,                 2.2894,                 3.6097,                 1.5399,              0.0066472,              0.0066472,              0.0066472
                      3,                 2.0773,                 5.1169,                  1.391,                0.43086,                0.04023,                0.02446,                0.01553,                 1.7236,                  3.143,                 1.2067,              0.0099641,              0.0099641,              0.0099641
                      4,                 1.7636,                 3.8933,                 1.2005,                0.46762,                0.08297,                0.05153,                 0.0317,                 1.5246,                 2.6907,                 1.1189,              0.0099629,              0.0099629,              0.0099629
                      5,                 1.5184,                 2.8123,                 1.0971,                  0.521,                0.18599,                0.13136,                0.08549,                 1.3434,                 1.9816,                 1.0292,              0.0099629,              0.0099629,              0.0099629
                      6,                 1.3842,                 2.2462,                 1.0402,                  0.563,                0.26884,                 0.2069,                0.13665,                  1.193,                 1.8063,                0.98469,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.2851,                 1.9167,                 1.0071,                0.52946,                0.26721,                0.23527,                0.15941,                 1.1268,                 1.5566,                 0.9556,              0.0099381,              0.0099381,              0.0099381
                      8,                 1.2272,                 1.6881,                0.97972,                0.53993,                0.30236,                0.29594,                0.20421,                 1.0942,                  1.397,                0.94556,              0.0099258,              0.0099258,              0.0099258
                      9,                 1.1784,                 1.5191,                0.96417,                0.55508,                0.33825,                0.35438,                0.25284,                 1.0468,                 1.2314,                0.93376,              0.0099134,              0.0099134,              0.0099134
                     10,                 1.1372,                 1.4142,                0.95063,                0.64547,                0.36611,                0.39918,                0.28803,                 1.0217,                  1.124,                0.92428,               0.009901,               0.009901,               0.009901
                     11,                 1.1239,                  1.337,                0.95157,                0.59568,                0.39254,                0.40764,                0.30136,                0.98386,                 1.1471,                0.90958,              0.0098886,              0.0098886,              0.0098886
                     12,                 1.0836,                 1.2595,                0.94035,                0.58842,                0.42268,                0.42989,                0.31604,                0.96294,                 1.0882,                 0.9076,              0.0098763,              0.0098763,              0.0098763
