                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.78495,                0.59585,                0.85415,                0.91856,                0.83846,                0.92623,                0.74528,                0.70469,                0.43508,                0.83317,               0.008845,               0.008845,               0.008845
                     38,                0.77713,                0.58348,                 0.8559,                0.93311,                0.84375,                0.94814,                0.76152,                0.70433,                0.42553,                0.83347,               0.008812,               0.008812,               0.008812
                     39,                0.77949,                0.57439,                 0.8502,                0.91147,                0.84972,                0.90996,                  0.726,                0.71434,                0.43466,                0.83377,               0.008779,               0.008779,               0.008779
                     40,                0.76895,                0.57159,                0.84768,                0.88126,                0.90966,                0.95785,                0.77332,                0.69396,                0.40882,                0.83072,               0.008746,               0.008746,               0.008746
                     41,                0.76744,                0.56325,                 0.8505,                 0.9554,                0.86056,                0.94656,                0.76664,                0.69091,                0.40289,                 0.8305,               0.008713,               0.008713,               0.008713
                     42,                0.76335,                0.56196,                0.84691,                0.94668,                0.84476,                0.95251,                0.76657,                0.69008,                0.39996,                0.83008,                0.00868,                0.00868,                0.00868
                     43,                0.76424,                0.55187,                0.84748,                0.94095,                0.86246,                0.96564,                0.78368,                0.68493,                0.39299,                0.82758,               0.008647,               0.008647,               0.008647
                     44,                0.76728,                0.55831,                0.84861,                0.93176,                0.87548,                0.96145,                0.77814,                0.68724,                0.39657,                0.82819,               0.008614,               0.008614,               0.008614
                     45,                0.75651,                0.54569,                0.84648,                0.93739,                0.89043,                0.97209,                 0.7886,                0.67738,                0.38744,                0.82685,               0.008581,               0.008581,               0.008581
                     46,                0.74876,                0.54171,                0.84392,                0.89676,                0.89782,                0.95682,                0.77856,                0.67276,                0.38366,                0.82627,               0.008548,               0.008548,               0.008548
                     47,                0.74865,                0.53554,                0.84666,                0.92144,                0.87608,                 0.9644,                0.78497,                0.68363,                0.38603,                0.82887,               0.008515,               0.008515,               0.008515
                     48,                0.75028,                0.52477,                0.84754,                0.90343,                0.91656,                0.97951,                0.80232,                 0.6646,                0.38083,                0.82438,               0.008482,               0.008482,               0.008482
                     49,                0.74291,                0.53565,                0.84448,                0.92026,                0.91754,                0.97485,                0.78906,                0.67981,                0.37291,                 0.8259,               0.008449,               0.008449,               0.008449
                     50,                0.74211,                0.52497,                0.84555,                0.94731,                0.90167,                0.97322,                0.79332,                0.66021,                0.36571,                0.82358,               0.008416,               0.008416,               0.008416
                     51,                0.73247,                0.51217,                 0.8422,                0.95423,                0.89252,                0.97707,                0.80066,                0.65358,                0.36764,                0.82229,               0.008383,               0.008383,               0.008383
                     52,                0.73401,                0.51887,                0.84341,                0.96358,                  0.883,                0.97661,                 0.7982,                0.65354,                0.36618,                0.82242,                0.00835,                0.00835,                0.00835
                     53,                0.73562,                0.51468,                0.84512,                0.91937,                0.93924,                0.97884,                0.80182,                0.65472,                0.35766,                0.82272,               0.008317,               0.008317,               0.008317
                     54,                0.73139,                0.50747,                0.84205,                0.91008,                0.94696,                0.97518,                0.80348,                 0.6525,                0.35913,                0.82184,               0.008284,               0.008284,               0.008284
                     55,                0.72775,                0.50129,                0.84194,                0.92299,                0.95301,                 0.9839,                0.81192,                0.64476,                0.35164,                0.82029,               0.008251,               0.008251,               0.008251
                     56,                 0.7245,                0.49978,                0.84435,                0.94806,                0.90314,                0.98436,                0.81561,                0.64361,                0.34921,                0.81945,               0.008218,               0.008218,               0.008218
                     57,                0.72412,                0.49675,                0.84058,                0.95749,                0.92295,                0.98749,                0.81883,                0.64542,                0.34991,                0.82011,               0.008185,               0.008185,               0.008185
                     58,                0.72316,                0.49523,                 0.8437,                0.95827,                0.93962,                0.98231,                0.81571,                 0.6357,                0.34688,                0.81841,               0.008152,               0.008152,               0.008152
                     59,                0.71207,                0.49038,                0.83782,                0.94412,                0.94946,                0.98775,                0.81945,                0.63806,                0.34317,                0.81881,               0.008119,               0.008119,               0.008119
                     60,                 0.7257,                0.49599,                0.84021,                0.95317,                0.94894,                0.98864,                0.82153,                0.63964,                0.34317,                0.81959,               0.008086,               0.008086,               0.008086
                     61,                0.71453,                0.48718,                0.84052,                0.90383,                0.96872,                0.98909,                0.81937,                0.63399,                0.34146,                0.81808,               0.008053,               0.008053,               0.008053
                     62,                0.70782,                0.48117,                0.83745,                0.90559,                0.98148,                0.98852,                0.82102,                0.63018,                0.33627,                 0.8177,                0.00802,                0.00802,                0.00802
                     63,                0.71166,                0.48419,                0.83907,                0.93712,                 0.9778,                0.98786,                0.81695,                0.63131,                0.33422,                 0.8175,               0.007987,               0.007987,               0.007987
                     64,                0.70658,                0.47668,                0.83545,                0.96078,                0.97539,                 0.9873,                0.82698,                0.62338,                 0.3307,                0.81622,               0.007954,               0.007954,               0.007954
                     65,                 0.7076,                0.48165,                0.84019,                0.94284,                0.97859,                0.98963,                0.82336,                0.62588,                 0.3309,                0.81662,               0.007921,               0.007921,               0.007921
                     66,                0.71046,                0.48213,                0.83728,                0.96155,                0.95556,                0.98969,                0.82798,                0.62904,                0.32988,                0.81716,               0.007888,               0.007888,               0.007888
                     67,                0.69816,                0.46983,                0.83753,                 0.9516,                 0.9612,                0.98965,                0.82505,                0.61868,                0.32777,                 0.8158,               0.007855,               0.007855,               0.007855
